"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","199","LoginPage Tests 008 - logout() - Logout button returns to Login Page","","Tue Dec 23 01:57:32 UTC 2025","passed","Tue Dec 23 01:57:32 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.login",".home.runner.work.fluttertest.fluttertest.test.login",""
"","121","CounterPage Isolated Tests 014 - counterIncrementRandom() - Tap N times (Random 2-6)","","Tue Dec 23 01:57:32 UTC 2025","passed","Tue Dec 23 01:57:32 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.counter",".home.runner.work.fluttertest.fluttertest.test.counter",""
"","127","LoginPage Tests 007 -loginInvalidPassword() - Wrong password shows error message","","Tue Dec 23 01:57:32 UTC 2025","passed","Tue Dec 23 01:57:32 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.login",".home.runner.work.fluttertest.fluttertest.test.login",""
"","131","015 - productStatePersistenceRandom() - Random items survive navigation","","Tue Dec 23 01:57:32 UTC 2025","passed","Tue Dec 23 01:57:32 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.checkout",".home.runner.work.fluttertest.fluttertest.test.checkout",""
"","162","CounterPage Isolated Tests 002 - tap check","","Tue Dec 23 01:57:32 UTC 2025","passed","Tue Dec 23 01:57:32 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.counter",".home.runner.work.fluttertest.fluttertest.test.counter",""
"","67","CounterPage Isolated Tests 004 - waitForAbsent logic","","Tue Dec 23 01:57:32 UTC 2025","passed","Tue Dec 23 01:57:32 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.counter",".home.runner.work.fluttertest.fluttertest.test.counter",""
"","644","013 - navigationPop() - Verify Back button functionality","","Tue Dec 23 01:57:32 UTC 2025","passed","Tue Dec 23 01:57:32 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.checkout",".home.runner.work.fluttertest.fluttertest.test.checkout",""
"","914","005 - scrollUntilVisible() - Scrolls to specific item","","Tue Dec 23 01:57:32 UTC 2025","passed","Tue Dec 23 01:57:32 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.long_list",".home.runner.work.fluttertest.fluttertest.test.long_list",""
"","695","011 - dismissItem() - Swipe to delete","","Tue Dec 23 01:57:32 UTC 2025","passed","Tue Dec 23 01:57:32 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.todo",".home.runner.work.fluttertest.fluttertest.test.todo",""
"","221","010 - checkoutFlow() - Successful checkout","","Tue Dec 23 01:57:32 UTC 2025","broken","Tue Dec 23 01:57:32 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.checkout",".home.runner.work.fluttertest.fluttertest.test.checkout",""
"","72","CounterPage Isolated Tests 003 - waitFor logic","","Tue Dec 23 01:57:32 UTC 2025","passed","Tue Dec 23 01:57:32 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.counter",".home.runner.work.fluttertest.fluttertest.test.counter",""
"","863","LoginPage Tests 006 - loginSuccess() - Correct input navigates to Home","","Tue Dec 23 01:57:32 UTC 2025","passed","Tue Dec 23 01:57:32 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.login",".home.runner.work.fluttertest.fluttertest.test.login",""
"","190","012 - dialogInteraction() - Open and close dialog","","Tue Dec 23 01:57:32 UTC 2025","passed","Tue Dec 23 01:57:32 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.todo",".home.runner.work.fluttertest.fluttertest.test.todo",""
"","766","CounterPage Isolated Tests 001 - enterText check","","Tue Dec 23 01:57:32 UTC 2025","passed","Tue Dec 23 01:57:32 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.counter",".home.runner.work.fluttertest.fluttertest.test.counter",""
"","47","LoginPage Tests 009 - validationEmptyFields() - Show error when fields are empty","","Tue Dec 23 01:57:32 UTC 2025","passed","Tue Dec 23 01:57:32 UTC 2025","",".home.runner.work.fluttertest.fluttertest.test.login",".home.runner.work.fluttertest.fluttertest.test.login",""
